alpha,test,mean,cv_mean,lower_percentile,upper_percentile,exp,step,linear
5.26315789474e-07,accuracy,0.77267375886524814,0.76675202410092269,0.76081560283687955,0.78528368794326242,53.131826057029045,26.0,58.333333333333364
5.26315789474e-07,precision,0.16490709285673374,0.16397822765469824,0.13494623655913979,0.19122876857749471,65.254156269354382,27.0,48.029700319912962
5.26315789474e-07,recall,0.17219435556204121,0.18131577068608554,0.14076923076923076,0.19888833276257212,66.66151163205673,20.0,44.26146153303435
4.78947368421e-07,F1,0.16501799846677112,0.16980550168785463,0.14160500999061587,0.19378680338077214,63.874763554398378,24.0,46.809779355404501
4.78947368421e-07,accuracy,0.76843262411347524,0.7706514780643946,0.75726950354609923,0.78173758865248233,58.966790140885273,35.0,59.256410256410277
4.78947368421e-07,precision,0.16020779030579838,0.16849847308937874,0.13726086956521738,0.18730733473601799,68.881796530922045,28.0,48.614978670820349
4.78947368421e-07,recall,0.17227431535746901,0.17585368030270579,0.143194718078619,0.20246783770410687,65.215497169556087,24.0,52.647688674504913
4.31578947368e-07,F1,0.16754372105464793,0.1911472029158427,0.14638308440061021,0.19069664902998237,66.847076791626577,22.0,50.475717815509697
4.31578947368e-07,accuracy,0.77141134751773055,0.77206803489612752,0.75656028368794326,0.78581560283687946,53.557033446927413,31.0,55.974358974358985
4.31578947368e-07,precision,0.16501822561995863,0.1820502872341446,0.14080413151633139,0.18991487455197134,66.511898275757275,24.0,47.174936947724021
4.31578947368e-07,recall,0.17286428029224413,0.20345436525434762,0.14952039633182251,0.19897194123926193,65.582770135010421,20.0,48.339192961499201
3.84210526316e-07,F1,0.1679821132864931,0.16224020277200984,0.13871685037651427,0.19607381760731452,65.09608817338848,27.0,50.759363241940562
3.84210526316e-07,accuracy,0.77480141843971639,0.76852507374631274,0.76099290780141848,0.78936170212765955,48.13242053025278,26.0,47.6666666666667
3.84210526316e-07,precision,0.16601762740260689,0.16016870787440407,0.13546706989247312,0.19438324580504676,63.555639690422716,27.0,47.032453197139375
3.84210526316e-07,recall,0.17230897011693647,0.1693404663214611,0.14250703931588279,0.20454292084726866,64.269713886684599,22.0,47.015675392025429
3.36842105263e-07,F1,0.16216112085295933,0.17504875082964327,0.13536793141682668,0.18305497349932209,71.397081909167653,29.0,53.812836091476321
3.36842105263e-07,accuracy,0.76981560283687944,0.7798694533358439,0.75709219858156029,0.78599290780141851,52.851443697354156,28.0,56.102564102564138
3.36842105263e-07,precision,0.15876611198555662,0.17457147863427475,0.13006556852710699,0.17761515770365327,73.852726191971072,34.0,58.291309907968326
3.36842105263e-07,recall,0.16909608659284048,0.1784812058256586,0.13902821316614422,0.19308577593957924,69.865942583270126,25.0,50.29347332243433
2.89473684211e-07,F1,0.16579239189041201,0.18490190545110452,0.13372970042661514,0.19356757970363719,66.18782583518032,28.0,49.625528918674789
2.89473684211e-07,accuracy,0.77219148936170212,0.76072553819117561,0.76081560283687955,0.78528368794326242,52.434995909051764,28.0,52.153846153846175
2.89473684211e-07,precision,0.16193462259923891,0.17213014811106603,0.13342584934470034,0.18735541463680155,69.441104296527371,32.0,51.688082107693297
2.89473684211e-07,recall,0.17282726506782756,0.20265098543165391,0.13844315466029361,0.20465437788018434,62.239631916321088,25.0,46.17053074978562
2.42105263158e-07,F1,0.17108548230710219,0.19219601748772522,0.14473168820994908,0.19245489338436306,65.143255763393626,22.0,49.675883083603004
2.42105263158e-07,accuracy,0.77195744680851064,0.77916023347768781,0.76347517730496461,0.7843971631205674,51.128864313909808,23.0,50.358974358974393
2.42105263158e-07,precision,0.16667525578209058,0.18791744634012109,0.13850083155143741,0.19354838709677419,64.091502483844295,25.0,46.771213441212453
2.42105263158e-07,recall,0.17843923112395785,0.19931036320075257,0.14928376790580233,0.20533803851435506,61.685372093264142,16.0,42.321492767056107
1.94736842105e-07,F1,0.17058119992061457,0.17580922106817382,0.14628002703200838,0.1976110808497393,62.105632139260749,18.0,43.508996349734623
1.94736842105e-07,accuracy,0.77107801418439725,0.76284817674009919,0.7586879432624114,0.78652482269503543,56.379645335774406,32.0,60.512820512820547
1.94736842105e-07,precision,0.16721527337239489,0.16603301239524151,0.14001174251859233,0.18963146019125388,67.266674039299517,24.0,49.871495927940707
1.94736842105e-07,recall,0.17689438397944607,0.19148857556515858,0.14995391590275012,0.20820840159500481,58.268450612547191,16.0,41.030664493904055
1.47368421053e-07,F1,0.16841203468646682,0.17312181635923662,0.14781990190431307,0.19334566951840815,63.606967485426118,23.0,48.99699395419006
1.47368421053e-07,accuracy,0.77043262411347513,0.77489675516224188,0.75957446808510642,0.78581560283687946,52.420590952298369,28.0,53.282051282051306
1.47368421053e-07,precision,0.16534753544279684,0.17376680418347085,0.14270320197044334,0.19715189873417721,63.827191592191539,23.0,44.873059160740858
1.47368421053e-07,recall,0.17603883761867098,0.17854589511966706,0.14542811839323466,0.20602034618888554,58.996278338923865,20.0,40.844877303707676
1e-07,F1,0.16575534681618756,0.16813186813186815,0.14074616236746318,0.19019501625135427,67.190720714215928,23.0,46.529829319948078
1e-07,accuracy,0.77131205673758874,0.7536371053787736,0.75797872340425532,0.7840425531914893,51.038875953873962,28.0,51.794871794871817
1e-07,precision,0.16253545620735577,0.15204957918421685,0.1386782774066011,0.18465479173385599,70.180435233409355,26.0,50.841422167901328
1e-07,recall,0.17392989678201601,0.18951058084403177,0.1419192615045467,0.20836528252919667,63.845642308132284,24.0,45.266095222422706
1e-07,F1,0.1630842501898141,0.18889009364790096,0.13953121204760746,0.18335424020537358,71.230780974051669,27.0,49.572524797679186
1e-07,accuracy,0.77025531914893619,0.76321157346388002,0.75886524822695034,0.78368794326241131,55.938052296730021,32.0,58.512820512820539
1e-07,precision,0.16099994513618696,0.1765776040551153,0.1385757806549886,0.17915470208183776,72.108658654355665,26.0,46.477224629962308
1e-07,recall,0.16801332602254082,0.20903491269071348,0.14049854535837081,0.19042162029660498,70.715974084858445,25.0,50.708619049260797
9.52631578947e-08,F1,0.16722986924260397,0.17376298985276534,0.14038146820448877,0.19756334986158858,62.419069796896686,25.0,44.273213186010793
9.52631578947e-08,accuracy,0.77251773049645389,0.76674512019079899,0.75957446808510642,0.78510638297872337,55.013769617831315,32.0,57.769230769230802
